# OUT_OF_SCOPE — série de valores, não entra na skill.
# Manutenção separada (regra 4 de 01-plano-extracao.md). Aqui só como
# evidência de conferência contra a tabela mantida à parte.
# documento=manual-de-calculo-trabalhista_2016-1.pdf emissor=TRT-3, Secretaria de Cálculos Judiciais, julho/2016 offset_paginacao=0
# 'serie' = mês, 'chave' = dia do mês, 'valor' = URV em CR$ naquele dia.
# O método de conversão NÃO consta deste bloco — ver relatório e
# tabelas-normativas/trt3-18.10-urv-conversao.json.
pagina_pdf,item,serie,chave,valor
453,18.10,jan/93,1,"13,01"
453,18.10,fev/93,1,"16,63"
453,18.10,mar/93,1,"21,01"
453,18.10,abr/93,1,"26,49"
453,18.10,mai/93,1,"33,88"
453,18.10,jun/93,1,"43,78"
453,18.10,jul/93,1,"56,81"
453,18.10,ago/93,1,"74,30"
453,18.10,set/93,1,"98,51"
453,18.10,out/93,1,"132,65"
453,18.10,nov/93,1,"178,97"
453,18.10,dez/93,1,"241,65"
453,18.10,jan/93,2,"13,01"
453,18.10,fev/93,2,"16,85"
453,18.10,mar/93,2,"21,22"
453,18.10,abr/93,2,"26,84"
453,18.10,mai/93,2,"33,88"
453,18.10,jun/93,2,"44,33"
453,18.10,jul/93,2,"57,51"
453,18.10,ago/93,2,"74,30"
453,18.10,set/93,2,"99,91"
453,18.10,out/93,2,"134,65"
453,18.10,nov/93,2,"181,68"
453,18.10,dez/93,2,"245,02"
453,18.10,jan/93,3,"13,01"
453,18.10,fev/93,3,"17,07"
453,18.10,mar/93,3,"21,43"
453,18.10,abr/93,3,"27,19"
453,18.10,mai/93,3,"33,88"
453,18.10,jun/93,3,"44,88"
453,18.10,jul/93,3,"58,21"
453,18.10,ago/93,3,"75,26"
453,18.10,set/93,3,"101,33"
453,18.10,out/93,3,"134,65"
453,18.10,nov/93,3,"181,68"
453,18.10,dez/93,3,"248,45"
453,18.10,jan/93,4,"13,01"
453,18.10,fev/93,4,"17,30"
453,18.10,mar/93,4,"21,64"
453,18.10,abr/93,4,"27,19"
453,18.10,mai/93,4,"34,30"
453,18.10,jun/93,4,"45,44"
453,18.10,jul/93,4,"58,21"
453,18.10,ago/93,4,"76,22"
453,18.10,set/93,4,"102,77"
453,18.10,out/93,4,"134,65"
453,18.10,nov/93,4,"184,44"
453,18.10,dez/93,4,"251,92"
453,18.10,jan/93,5,"13,17"
453,18.10,fev/93,5,"17,53"
453,18.10,mar/93,5,"21,86"
453,18.10,abr/93,5,"27,19"
453,18.10,mai/93,5,"34,72"
453,18.10,jun/93,5,"46,01"
453,18.10,jul/93,5,"58,21"
453,18.10,ago/93,5,"77,20"
453,18.10,set/93,5,"102,77"
453,18.10,out/93,5,"136,68"
453,18.10,nov/93,5,"187,24"
453,18.10,dez/93,5,"251,92"
453,18.10,jan/93,6,"13,33"
453,18.10,fev/93,6,"17,76"
453,18.10,mar/93,6,"22,08"
453,18.10,abr/93,6,"27,55"
453,18.10,mai/93,6,"35,14"
453,18.10,jun/93,6,"46,01"
453,18.10,jul/93,6,"58,92"
453,18.10,ago/93,6,"78,19"
453,18.10,set/93,6,"102,77"
453,18.10,out/93,6,"138,75"
453,18.10,nov/93,6,"190,09"
453,18.10,dez/93,6,"251,92"
453,18.10,jan/93,7,"13,49"
453,18.10,fev/93,7,"17,76"
453,18.10,mar/93,7,"22,08"
453,18.10,abr/93,7,"27,91"
453,18.10,mai/93,7,"35,58"
453,18.10,jun/93,7,"46,01"
453,18.10,jul/93,7,"59,65"
453,18.10,ago/93,7,"79,19"
453,18.10,set/93,7,"104,24"
453,18.10,out/93,7,"140,84"
453,18.10,nov/93,7,"190,09"
453,18.10,dez/93,7,"255,44"
453,18.10,jan/93,8,"13,66"
453,18.10,fev/93,8,"17,76"
453,18.10,mar/93,8,"22,08"
453,18.10,abr/93,8,"28,27"
453,18.10,mai/93,8,"36,01"
453,18.10,jun/93,8,"46,59"
453,18.10,jul/93,8,"60,38"
453,18.10,ago/93,8,"79,19"
453,18.10,set/93,8,"104,24"
453,18.10,out/93,8,"142,96"
453,18.10,nov/93,8,"190,09"
