# OUT_OF_SCOPE — série de valores, não entra na skill.
# Manutenção separada (regra 4 de 01-plano-extracao.md). Aqui só como
# evidência de conferência contra a tabela mantida à parte.
# documento=manual-de-calculo-trabalhista_2016-1.pdf emissor=TRT-3, Secretaria de Cálculos Judiciais, julho/2016 offset_paginacao=0
# 'serie' = ano, 'chave' = mês.
# * A UFIR passou a ser trimestral em 1995
# ** Semestral em 1996, art. 6º, inciso I, Lei 10.192, 14/02/01
# *** Anual a partir de 1997, art. 6º, inciso II, Lei 10.192, 14/02/01
# UFIR extinta em decorrência do § 3o do art. 29 da Lei 10.522 de 19/07/02
# Para a reconversão em REAL:
# . Fatos geradores ocorridos até dez/94 e com valores expressos em UFIR: Utilizar o valor da UFIR fixado para 1º de janeiro
# . Fatos gerados ocorridos a partir de jan/95: Utilizar o valor da UFIR fixado para o exercício de 2000 (art. 6º, § único, Lei
# tipo do indexador (R3): Ufir=nominal.
# Fonte de cada classificacao: skills/calculo-judicial-atualizacao/regras/indexadores-tipo-catalogo.json
pagina_pdf,item,serie,chave,valor
455,18.12,1992,jan,"597,06"
455,18.12,1993,jan,"7.412,55"
455,18.12,1994,jan,"187,77"
455,18.12,1995*,jan,"0,6767"
455,18.12,1996**,jan,"0,8287"
455,18.12,1997***,jan,"0,9108"
455,18.12,1998,jan,"0,9611"
455,18.12,1999,jan,"0,977"
455,18.12,2000,jan,"1,0641"
455,18.12,1992,fev,"749,91"
455,18.12,1993,fev,"9.597,03"
455,18.12,1994,fev,"261,32"
455,18.12,1995*,fev,"0,6767"
455,18.12,1996**,fev,"0,8287"
455,18.12,1997***,fev,"0,9108"
455,18.12,1998,fev,"0,9611"
455,18.12,1999,fev,"0,977"
455,18.12,2000,fev,"1,0641"
455,18.12,1992,mar,"945,64"
455,18.12,1993,mar,"12.161,36"
455,18.12,1994,mar,"365,06"
455,18.12,1995*,mar,"0,6767"
455,18.12,1996**,mar,"0,8287"
455,18.12,1997***,mar,"0,9108"
455,18.12,1998,mar,"0,9611"
455,18.12,1999,mar,"0,977"
455,18.12,2000,mar,"1,0641"
455,18.12,1992,abr,"1.153,96"
455,18.12,1993,abr,"15.318,45"
455,18.12,1994,abr,"524,34"
455,18.12,1995*,abr,"0,7061"
455,18.12,1996**,abr,"0,8287"
455,18.12,1997***,abr,"0,9108"
455,18.12,1998,abr,"0,9611"
455,18.12,1999,abr,"0,977"
455,18.12,2000,abr,"1,0641"
455,18.12,1992,maio,"1.382,79"
455,18.12,1993,maio,"19.506,52"
455,18.12,1994,maio,"740,63"
455,18.12,1995*,maio,"0,7061"
455,18.12,1996**,maio,"0,8287"
455,18.12,1997***,maio,"0,9108"
455,18.12,1998,maio,"0,9611"
455,18.12,1999,maio,"0,977"
455,18.12,2000,maio,"1,0641"
455,18.12,1992,jun,"1.707,05"
455,18.12,1993,jun,"25.126,35"
455,18.12,1994,jun,"1.068,06"
455,18.12,1995*,jun,"0,7061"
455,18.12,1996**,jun,"0,8287"
455,18.12,1997***,jun,"0,9108"
455,18.12,1998,jun,"0,9611"
455,18.12,1999,jun,"0,977"
455,18.12,2000,jun,"1,0641"
455,18.12,1992,jul,"2.104,28"
455,18.12,1993,jul,"32.749,68"
455,18.12,1994,jul,"0,5618"
455,18.12,1995*,jul,"0,7564"
455,18.12,1996**,jul,"0,8847"
455,18.12,1997***,jul,"0,9108"
455,18.12,1998,jul,"0,9611"
455,18.12,1999,jul,"0,977"
455,18.12,2000,jul,"1,0641"
455,18.12,1992,ago,"2.546,39"
455,18.12,1993,ago,"42,79"
455,18.12,1994,ago,"0,5911"
455,18.12,1995*,ago,"0,7564"
455,18.12,1996**,ago,"0,8847"
455,18.12,1997***,ago,"0,9108"
455,18.12,1998,ago,"0,9611"
455,18.12,1999,ago,"0,977"
455,18.12,2000,ago,"1,0641"
455,18.12,1992,set,"3.135,62"
455,18.12,1993,set,"56,48"
455,18.12,1994,set,"0,6207"
455,18.12,1995*,set,"0,7564"
455,18.12,1996**,set,"0,8847"
455,18.12,1997***,set,"0,9108"
455,18.12,1998,set,"0,9611"
455,18.12,1999,set,"0,977"
455,18.12,2000,set,"1,0641"
455,18.12,1992,out,"3.867,16"
455,18.12,1993,out,"75,90"
455,18.12,1994,out,"0,6308"
455,18.12,1995*,out,"0,7952"
455,18.12,1996**,out,"0,8847"
455,18.12,1997***,out,"0,9108"
455,18.12,1998,out,"0,9611"
455,18.12,1999,out,"0,977"
455,18.12,2000,out,"1,0641"
455,18.12,1992,nov,"4.852,51"
455,18.12,1993,nov,"102,59"
455,18.12,1994,nov,"0,6428"
455,18.12,1995*,nov,"0,7952"
455,18.12,1996**,nov,"0,8847"
455,18.12,1997***,nov,"0,9108"
455,18.12,1998,nov,"0,9611"
455,18.12,1999,nov,"0,977"
455,18.12,2000,nov,"1,0641"
455,18.12,1992,dez,"6.002,55"
455,18.12,1993,dez,"137,37"
455,18.12,1994,dez,"0,6618"
455,18.12,1995*,dez,"0,7952"
455,18.12,1996**,dez,"0,8847"
455,18.12,1997***,dez,"0,9108"
455,18.12,1998,dez,"0,9611"
455,18.12,1999,dez,"0,977"
455,18.12,2000,dez,"1,0641"
