# OUT_OF_SCOPE — série de valores, não entra na skill.
# Manutenção separada (regra 4 de 01-plano-extracao.md). Aqui só como
# evidência de conferência contra a tabela mantida à parte.
# documento=manual-de-calculo-trabalhista_2016-1.pdf emissor=TRT-3, Secretaria de Cálculos Judiciais, julho/2016 offset_paginacao=0
# Quatro variantes, uma por página. O critério de contagem é o título da
# tabela e está isolado em skills/calculo-trabalhista-liquidacao/regras/trt3-18.13-rsr-criterios.json.
# As contagens dependem do calendário e do rol de feriados — série.
pagina_pdf,item,criterio,competencia,rsr,dias_uteis,percentual
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jan/05,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jan/09,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jan/13,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jan/17,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",fev/05,4,24,"16,67%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",fev/09,4,24,"16,67%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",fev/13,4,24,"16,67%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",fev/17,4,24,"16,67%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",mar/05,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",mar/09,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",mar/13,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",mar/17,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",abr/05,4,26,"15,38%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",abr/09,4,26,"15,38%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",abr/13,4,26,"15,38%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",abr/17,5,25,"20,00%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",mai/05,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",mai/09,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",mai/13,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",mai/17,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jun/05,4,26,"15,38%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jun/09,4,26,"15,38%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jun/13,5,25,"20,00%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jun/17,4,26,"15,38%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jul/05,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jul/09,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jul/13,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jul/17,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",ago/05,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",ago/09,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",ago/13,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",ago/17,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",set/05,4,26,"15,38%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",set/09,4,26,"15,38%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",set/13,5,25,"20,00%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",set/17,4,26,"15,38%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",out/05,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",out/09,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",out/13,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",out/17,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",nov/05,4,26,"15,38%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",nov/09,5,25,"20,00%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",nov/13,4,26,"15,38%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",nov/17,4,26,"15,38%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",dez/05,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",dez/09,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",dez/13,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",dez/17,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jan/06,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jan/10,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jan/14,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jan/18,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",fev/06,4,24,"16,67%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",fev/10,4,24,"16,67%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",fev/14,4,24,"16,67%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",fev/18,4,24,"16,67%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",mar/06,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",mar/10,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",mar/14,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",mar/18,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",abr/06,5,25,"20,00%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",abr/10,4,26,"15,38%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",abr/14,4,26,"15,38%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",abr/18,5,25,"20,00%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",mai/06,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",mai/10,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",mai/14,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",mai/18,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jun/06,4,26,"15,38%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jun/10,4,26,"15,38%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jun/14,5,25,"20,00%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jun/18,4,26,"15,38%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jul/06,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jul/10,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jul/14,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jul/18,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",ago/06,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",ago/10,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",ago/14,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",ago/18,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",set/06,4,26,"15,38%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",set/10,4,26,"15,38%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",set/14,4,26,"15,38%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",set/18,5,25,"20,00%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",out/06,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",out/10,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",out/14,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",out/18,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",nov/06,4,26,"15,38%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",nov/10,4,26,"15,38%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",nov/14,5,25,"20,00%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",nov/18,4,26,"15,38%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",dez/06,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",dez/10,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",dez/14,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",dez/18,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jan/07,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jan/11,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jan/15,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",jan/19,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",fev/07,4,24,"16,67%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",fev/11,4,24,"16,67%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",fev/15,4,24,"16,67%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",fev/19,4,24,"16,67%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",mar/07,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",mar/11,4,27,"14,81%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",mar/15,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",mar/19,5,26,"19,23%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",abr/07,5,25,"20,00%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",abr/11,4,26,"15,38%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",abr/15,4,26,"15,38%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",abr/19,4,26,"15,38%"
456,18.13,"Tabela de RSR, considerando apenas os domingos como RSR, não abrangendo os feriados",mai/07,4,27,"14,81%"
