# OUT_OF_SCOPE — série de valores, não entra na skill.
# Manutenção separada (regra 4 de 01-plano-extracao.md). Aqui só como
# evidência de conferência contra a tabela mantida à parte.
# documento=manual-de-calculo-trabalhista_2016-1.pdf emissor=TRT-3, Secretaria de Cálculos Judiciais, julho/2016 offset_paginacao=0
# Os calendários do original não têm moldura de tabela: cada dia foi
# atribuído a um mês e a um dia da semana pela posição x/y na página.
# 'dia_da_semana' vem da coluna sob o cabeçalho D S T Q Q S S do original,
# não de cálculo de calendário. Divergência é do original — ver relatório.
pagina_pdf,item,ano,mes,mes_numero,dia,dia_da_semana
460,18.14,2007,JANEIRO,1,1,segunda
460,18.14,2007,JANEIRO,1,2,terca
460,18.14,2007,JANEIRO,1,3,quarta
460,18.14,2007,JANEIRO,1,4,quinta
460,18.14,2007,JANEIRO,1,5,sexta
460,18.14,2007,JANEIRO,1,6,sabado
460,18.14,2007,JANEIRO,1,7,domingo
460,18.14,2007,JANEIRO,1,8,segunda
460,18.14,2007,JANEIRO,1,9,terca
460,18.14,2007,JANEIRO,1,10,quarta
460,18.14,2007,JANEIRO,1,11,quinta
460,18.14,2007,JANEIRO,1,12,sexta
460,18.14,2007,JANEIRO,1,13,sabado
460,18.14,2007,JANEIRO,1,14,domingo
460,18.14,2007,JANEIRO,1,15,segunda
460,18.14,2007,JANEIRO,1,16,terca
460,18.14,2007,JANEIRO,1,17,quarta
460,18.14,2007,JANEIRO,1,18,quinta
460,18.14,2007,JANEIRO,1,19,sexta
460,18.14,2007,JANEIRO,1,20,sabado
460,18.14,2007,JANEIRO,1,21,domingo
460,18.14,2007,JANEIRO,1,22,segunda
460,18.14,2007,JANEIRO,1,23,terca
460,18.14,2007,JANEIRO,1,24,quarta
460,18.14,2007,JANEIRO,1,25,quinta
460,18.14,2007,JANEIRO,1,26,sexta
460,18.14,2007,JANEIRO,1,27,sabado
460,18.14,2007,JANEIRO,1,28,domingo
460,18.14,2007,JANEIRO,1,29,segunda
460,18.14,2007,JANEIRO,1,30,terca
460,18.14,2007,JANEIRO,1,31,quarta
460,18.14,2007,FEVEREIRO,2,1,quinta
460,18.14,2007,FEVEREIRO,2,2,sexta
460,18.14,2007,FEVEREIRO,2,3,sabado
460,18.14,2007,FEVEREIRO,2,4,domingo
460,18.14,2007,FEVEREIRO,2,5,segunda
460,18.14,2007,FEVEREIRO,2,6,terca
460,18.14,2007,FEVEREIRO,2,7,quarta
460,18.14,2007,FEVEREIRO,2,8,quinta
460,18.14,2007,FEVEREIRO,2,9,sexta
460,18.14,2007,FEVEREIRO,2,10,sabado
460,18.14,2007,FEVEREIRO,2,11,domingo
460,18.14,2007,FEVEREIRO,2,12,segunda
460,18.14,2007,FEVEREIRO,2,13,terca
460,18.14,2007,FEVEREIRO,2,14,quarta
460,18.14,2007,FEVEREIRO,2,15,quinta
460,18.14,2007,FEVEREIRO,2,16,sexta
460,18.14,2007,FEVEREIRO,2,17,sabado
460,18.14,2007,FEVEREIRO,2,18,domingo
460,18.14,2007,FEVEREIRO,2,19,segunda
460,18.14,2007,FEVEREIRO,2,20,terca
460,18.14,2007,FEVEREIRO,2,21,quarta
