# OUT_OF_SCOPE — série de valores, não entra na skill.
# Manutenção separada (regra 4 de 01-plano-extracao.md). Aqui só como
# evidência de conferência contra a tabela mantida à parte.
# documento=manual-de-calculo-trabalhista_2016-1.pdf emissor=TRT-3, Secretaria de Cálculos Judiciais, julho/2016 offset_paginacao=0
# 'serie' = ano, 'chave' = mês. Dois quadros na mesma página:
#   taxa-selic-mensal            — taxa do mês, tributos federais
#   selic-acumulada-ate-maio-2016 — acumulado da competência à vigência
# Zeros em meses posteriores à edição (maio/2016) são do original.
# tipo do indexador (R3): Selic=percentual — reclassificada no BLOCO 19, que
#   RETIROU o valor 'englobante' do vocabulário de tipo_indexador.
#   A Selic ENGLOBA correção e juros: isso segue VERDADEIRO, é FATO DE R1 e
#   vive no campo 'engloba' das cadeias, que não mudou. O que mudou foi só a
#   CLASSE DE R3 — 'englobante' ali era erro de categoria e deixava a Selic
#   cega para a comparação de defasagem, embora ela tenha defasagem.
# Fonte de cada classificacao: skills/calculo-judicial-atualizacao/regras/indexadores-tipo-catalogo.json
pagina_pdf,item,serie,chave,valor,quadro
468,18.15,1995,Janeiro,"0,00%",taxa-selic-mensal
468,18.15,1996,Janeiro,"2,58%",taxa-selic-mensal
468,18.15,1997,Janeiro,"1,73%",taxa-selic-mensal
468,18.15,1998,Janeiro,"2,67%",taxa-selic-mensal
468,18.15,1999,Janeiro,"2,18%",taxa-selic-mensal
468,18.15,2000,Janeiro,"1,46%",taxa-selic-mensal
468,18.15,2001,Janeiro,"1,27%",taxa-selic-mensal
468,18.15,2002,Janeiro,"1,53%",taxa-selic-mensal
468,18.15,2003,Janeiro,"1,97%",taxa-selic-mensal
468,18.15,2004,Janeiro,"1,27%",taxa-selic-mensal
468,18.15,2005,Janeiro,"1,38%",taxa-selic-mensal
468,18.15,2006,Janeiro,"1,43%",taxa-selic-mensal
468,18.15,2007,Janeiro,"1,08%",taxa-selic-mensal
468,18.15,2008,Janeiro,"0,93%",taxa-selic-mensal
468,18.15,2009,Janeiro,"1,05%",taxa-selic-mensal
468,18.15,2010,Janeiro,"0,66%",taxa-selic-mensal
468,18.15,2011,Janeiro,"0,86%",taxa-selic-mensal
468,18.15,2012,Janeiro,"0,89%",taxa-selic-mensal
468,18.15,2013,Janeiro,"0,60%",taxa-selic-mensal
468,18.15,2014,Janeiro,"0,85%",taxa-selic-mensal
468,18.15,2015,Janeiro,"0,94%",taxa-selic-mensal
468,18.15,2016,Janeiro,"1,06%",taxa-selic-mensal
468,18.15,1995,Fevereiro,"3,63%",taxa-selic-mensal
468,18.15,1996,Fevereiro,"2,35%",taxa-selic-mensal
468,18.15,1997,Fevereiro,"1,67%",taxa-selic-mensal
468,18.15,1998,Fevereiro,"2,13%",taxa-selic-mensal
468,18.15,1999,Fevereiro,"2,38%",taxa-selic-mensal
468,18.15,2000,Fevereiro,"1,45%",taxa-selic-mensal
468,18.15,2001,Fevereiro,"1,02%",taxa-selic-mensal
468,18.15,2002,Fevereiro,"1,25%",taxa-selic-mensal
468,18.15,2003,Fevereiro,"1,83%",taxa-selic-mensal
468,18.15,2004,Fevereiro,"1,08%",taxa-selic-mensal
468,18.15,2005,Fevereiro,"1,22%",taxa-selic-mensal
468,18.15,2006,Fevereiro,"1,15%",taxa-selic-mensal
468,18.15,2007,Fevereiro,"0,87%",taxa-selic-mensal
468,18.15,2008,Fevereiro,"0,80%",taxa-selic-mensal
468,18.15,2009,Fevereiro,"0,86%",taxa-selic-mensal
468,18.15,2010,Fevereiro,"0,59%",taxa-selic-mensal
468,18.15,2011,Fevereiro,"0,84%",taxa-selic-mensal
468,18.15,2012,Fevereiro,"0,75%",taxa-selic-mensal
468,18.15,2013,Fevereiro,"0,49%",taxa-selic-mensal
468,18.15,2014,Fevereiro,"0,79%",taxa-selic-mensal
468,18.15,2015,Fevereiro,"0,82%",taxa-selic-mensal
468,18.15,2016,Fevereiro,"1,00%",taxa-selic-mensal
468,18.15,1995,Março,"2,60%",taxa-selic-mensal
468,18.15,1996,Março,"2,22%",taxa-selic-mensal
468,18.15,1997,Março,"1,64%",taxa-selic-mensal
468,18.15,1998,Março,"2,20%",taxa-selic-mensal
468,18.15,1999,Março,"3,33%",taxa-selic-mensal
468,18.15,2000,Março,"1,45%",taxa-selic-mensal
468,18.15,2001,Março,"1,26%",taxa-selic-mensal
468,18.15,2002,Março,"1,37%",taxa-selic-mensal
468,18.15,2003,Março,"1,78%",taxa-selic-mensal
468,18.15,2004,Março,"1,38%",taxa-selic-mensal
468,18.15,2005,Março,"1,53%",taxa-selic-mensal
468,18.15,2006,Março,"1,42%",taxa-selic-mensal
468,18.15,2007,Março,"1,05%",taxa-selic-mensal
