# OUT_OF_SCOPE — série de valores, não entra na skill.
# Manutenção separada (regra 4 de 01-plano-extracao.md). Aqui só como
# evidência de conferência contra a tabela mantida à parte.
# documento=manual-de-calculo-trabalhista_2016-1.pdf emissor=TRT-3, Secretaria de Cálculos Judiciais, julho/2016 offset_paginacao=0
# Vigência maio/16. Coeficiente Ufir só nas competências até jun/1994;
# a partir daí o original traz apenas o percentual de juros.
pagina_pdf,item,competencia,coeficiente_ufir,juros_pct
469,18.15,jan/80,"0,00194635","813,21%"
469,18.15,jan/85,"0,00004322","753,21%"
469,18.15,jan/90,"0,01084363","693,21%"
469,18.15,jan/95,,"347,24%"
469,18.15,jan/00,,"213,83%"
469,18.15,jan/05,,"127,91%"
469,18.15,jan/10,,"63,47%"
469,18.15,jan/15,,"16,06%"
469,18.15,fev/80,"0,00194635","812,21%"
469,18.15,fev/85,"0,00003835","752,21%"
469,18.15,fev/90,"0,00635213","692,21%"
469,18.15,fev/95,,"344,64%"
469,18.15,fev/00,,"212,38%"
469,18.15,fev/05,,"126,38%"
469,18.15,fev/10,,"62,71%"
469,18.15,fev/15,,"15,02%"
469,18.15,mar/80,"0,00177425","811,21%"
469,18.15,mar/85,"0,00003429","751,21%"
469,18.15,mar/90,"0,00509111","691,21%"
469,18.15,mar/95,,"340,38%"
469,18.15,mar/00,,"211,08%"
469,18.15,mar/05,,"124,97%"
469,18.15,mar/10,,"62,04%"
469,18.15,mar/15,,"14,07%"
469,18.15,abr/80,"0,00177425","810,21%"
469,18.15,abr/85,"0,00003117","750,21%"
469,18.15,abr/90,"0,00509111","690,21%"
469,18.15,abr/95,,"336,13%"
469,18.15,abr/00,,"209,59%"
469,18.15,abr/05,,"123,47%"
469,18.15,abr/10,,"61,29%"
469,18.15,abr/15,,"13,08%"
469,18.15,mai/80,"0,00177425","809,21%"
469,18.15,mai/85,"0,00002855","749,21%"
469,18.15,mai/90,"0,00483117","689,21%"
469,18.15,mai/95,,"332,09%"
469,18.15,mai/00,,"208,20%"
469,18.15,mai/05,,"121,88%"
469,18.15,mai/10,,"60,50%"
469,18.15,mai/15,,"12,01%"
469,18.15,jun/80,"0,00177425","808,21%"
469,18.15,jun/85,"0,00002653","748,21%"
469,18.15,jun/90,"0,0044076","688,21%"
469,18.15,jun/95,,"328,07%"
469,18.15,jun/00,,"206,89%"
469,18.15,jun/05,,"120,37%"
469,18.15,jun/10,,"59,64%"
469,18.15,jun/15,,"10,83%"
469,18.15,jul/80,"0,00177425","807,21%"
469,18.15,jul/85,"0,00002452","747,21%"
469,18.15,jul/90,"0,00397833","687,21%"
469,18.15,jul/95,,"324,23%"
469,18.15,jul/00,,"205,48%"
469,18.15,jul/05,,"118,71%"
469,18.15,jul/10,,"58,75%"
469,18.15,jul/15,,"9,72%"
469,18.15,ago/80,"0,00177425","806,21%"
469,18.15,ago/85,"0,00002247","746,21%"
469,18.15,ago/90,"0,0035978","686,21%"
469,18.15,ago/95,,"320,91%"
469,18.15,ago/00,,"204,26%"
469,18.15,ago/05,,"117,21%"
