# OUT_OF_SCOPE — série de valores, não entra na skill.
# Manutenção separada (regra 4 de 01-plano-extracao.md). Aqui só como
# evidência de conferência contra a tabela mantida à parte.
# documento=manual-de-calculo-trabalhista_2016-1.pdf emissor=TRT-3, Secretaria de Cálculos Judiciais, julho/2016 offset_paginacao=0
# CSJT, Tabela Única para atualização de débitos trabalhistas, até
# 31/05/2016 para 1º/06/2016. Base TR — SUPERADA pela ADC 58 do STF.
# 'serie' = ano, 'chave' = mês, 'valor' = coeficiente de atualização.
# Não use como fonte normativa: ver 00-base-normativa.md, seção 1.
# tipo do indexador (R3): base TR=indeterminado (rebaixado no bloco 17).
# Fonte de cada classificacao: skills/calculo-judicial-atualizacao/regras/indexadores-tipo-catalogo.json
pagina_pdf,item,serie,chave,valor
467,18.15,2006,JAN,"1,121989897"
467,18.15,2007,JAN,"1,099583326"
467,18.15,2008,JAN,"1,083917350"
467,18.15,2009,JAN,"1,066482034"
467,18.15,2010,JAN,"1,058973847"
467,18.15,2011,JAN,"1,051730038"
467,18.15,2012,JAN,"1,039177731"
467,18.15,2013,JAN,"1,036175834"
467,18.15,2014,JAN,"1,034200273"
467,18.15,2015,JAN,"1,025388925"
467,18.15,2016,JAN,"1,007302839"
467,18.15,2006,FEV,"1,119386205"
467,18.15,2007,FEV,"1,097181595"
467,18.15,2008,FEV,"1,082823698"
467,18.15,2009,FEV,"1,064523311"
467,18.15,2010,FEV,"1,058973847"
467,18.15,2011,FEV,"1,050978588"
467,18.15,2012,FEV,"1,038280657"
467,18.15,2013,FEV,"1,036175834"
467,18.15,2014,FEV,"1,033037073"
467,18.15,2015,FEV,"1,024489423"
467,18.15,2016,FEV,"1,005974952"
467,18.15,2006,MAR,"1,118575237"
467,18.15,2007,MAR,"1,096391097"
467,18.15,2008,MAR,"1,082560636"
467,18.15,2009,MAR,"1,064043427"
467,18.15,2010,MAR,"1,058973847"
467,18.15,2011,MAR,"1,050428164"
467,18.15,2012,MAR,"1,038280657"
467,18.15,2013,MAR,"1,036175834"
467,18.15,2014,MAR,"1,032482630"
467,18.15,2015,MAR,"1,024317338"
467,18.15,2016,MAR,"1,005013154"
467,18.15,2006,ABR,"1,116261228"
467,18.15,2007,ABR,"1,094338119"
467,18.15,2008,ABR,"1,082118049"
467,18.15,2009,ABR,"1,062515530"
467,18.15,2010,ABR,"1,058135803"
467,18.15,2011,ABR,"1,049156586"
467,18.15,2012,ABR,"1,037172956"
467,18.15,2013,ABR,"1,036175834"
467,18.15,2014,ABR,"1,032208063"
467,18.15,2015,ABR,"1,022991541"
467,18.15,2016,ABR,"1,002838999"
467,18.15,2006,MAI,"1,115307640"
467,18.15,2007,MAI,"1,092947889"
467,18.15,2008,MAI,"1,081085613"
467,18.15,2009,MAI,"1,062033367"
467,18.15,2010,MAI,"1,058135803"
467,18.15,2011,MAI,"1,048769590"
467,18.15,2012,MAI,"1,036937571"
467,18.15,2013,MAI,"1,036175834"
467,18.15,2014,MAI,"1,031734496"
467,18.15,2015,MAI,"1,021894027"
467,18.15,2016,MAI,"1,001533000"
467,18.15,2006,JUN,"1,113205907"
467,18.15,2007,JUN,"1,091105013"
467,18.15,2008,JUN,"1,080290519"
467,18.15,2009,JUN,"1,061556728"
467,18.15,2010,JUN,"1,057596429"
467,18.15,2011,JUN,"1,047125603"
467,18.15,2012,JUN,"1,036452511"
467,18.15,2013,JUN,"1,036175834"
467,18.15,2014,JUN,"1,031111705"
467,18.15,2015,JUN,"1,020717140"
467,18.15,2016,JUN,"1,000000000"
467,18.15,2006,JUL,"1,111053796"
467,18.15,2007,JUL,"1,090065091"
467,18.15,2008,JUL,"1,079053923"
467,18.15,2009,JUL,"1,060860803"
467,18.15,2010,JUL,"1,056973872"
467,18.15,2011,JUL,"1,045960403"
