# OUT_OF_SCOPE — série de valores, não entra na skill.
# Manutenção separada (regra 4 de 01-plano-extracao.md). Aqui só como
# evidência de conferência contra a tabela mantida à parte.
# documento=manual-de-calculo-trabalhista_2016-1.pdf emissor=TRT-3, Secretaria de Cálculos Judiciais, julho/2016 offset_paginacao=0
# especie: PNS = Piso Nacional de Salários, SMR = Salário Mínimo de Referência
# (coexistiram entre 09/1987 e 07/1989). Vazio = salário mínimo único.
pagina_pdf,item,ordem,coluna_do_original,data_vigencia,especie,valor,observacao
381,18.2,1,1,04/07/40,,"170,00",
381,18.2,2,2,01/03/88,PNS,"6.240,00",
381,18.2,3,3,01/12/93,,"18.760,00",
381,18.2,4,1,01/01/43,,"212,00",
381,18.2,5,2,,SMR,"4.128,09",sem data no original: mesmo marco da linha anterior
381,18.2,6,3,01/01/94,,"32.882,00",
381,18.2,7,1,01/12/43,,"270,00",
381,18.2,8,2,01/04/88,PNS,"7.260,00",
381,18.2,9,3,01/02/94,,"42.829,00",
381,18.2,10,1,01/01/52,,"900,00",
381,18.2,11,2,,SMR,"4.932,00",sem data no original: mesmo marco da linha anterior
381,18.2,12,3,01/03/94,,"64,79",
381,18.2,13,1,04/07/54,,"2.200,80",
381,18.2,14,2,01/05/88,PNS,"8.712,00",
381,18.2,15,3,01/09/94,,"70,00",
381,18.2,16,1,01/08/56,,"3.300,00",
381,18.2,17,2,,SMR,"5.918,00",sem data no original: mesmo marco da linha anterior
381,18.2,18,3,01/05/95,,"100,00",
381,18.2,19,1,01/10/59,,"5.300,00",
381,18.2,20,2,01/06/88,PNS,"10.368,00",
381,18.2,21,3,01/05/96,,"112,00",
381,18.2,22,1,18/10/60,,"8.480,00",
381,18.2,23,2,,SMR,"6.984,00",sem data no original: mesmo marco da linha anterior
381,18.2,24,3,01/05/97,,"120,00",
381,18.2,25,1,16/10/61,,"11.872,00",
381,18.2,26,2,01/07/88,PNS,"12.444,00",
381,18.2,27,3,01/05/98,,"130,00",
381,18.2,28,1,01/01/63,,"21.000,00",
381,18.2,29,2,,SMR,"8.376,00",sem data no original: mesmo marco da linha anterior
381,18.2,30,3,01/05/99,,"136,00",
381,18.2,31,1,24/02/64,,"42.000,00",
381,18.2,32,2,01/08/88,PNS,"15.552,00",
381,18.2,33,3,03/04/00,,"151,00",
381,18.2,34,1,01/03/65,,64.320,
381,18.2,35,2,,SMR,"10.464,00",sem data no original: mesmo marco da linha anterior
381,18.2,36,3,01/04/01,,"180,00",
381,18.2,37,1,01/03/66,,81.000,
381,18.2,38,2,01/09/88,PNS,"18.960,00",
381,18.2,39,3,01/04/02,,"200,00",
381,18.2,40,1,01/03/67,,"101,25",
381,18.2,41,2,,SMR,"12.702,00",sem data no original: mesmo marco da linha anterior
381,18.2,42,3,01/04/03,,"240,00",
381,18.2,43,1,01/04/68,,"124,80",
381,18.2,44,2,01/10/88,PNS,"23.700,00",
381,18.2,45,3,01/05/04,,"260,00",
381,18.2,46,1,01/05/69,,"148,80",
