# OUT_OF_SCOPE — série de valores, não entra na skill.
# Manutenção separada (regra 4 de 01-plano-extracao.md). Aqui só como
# evidência de conferência contra a tabela mantida à parte.
# documento=manual-de-calculo-trabalhista_2016-1.pdf emissor=TRT-3, Secretaria de Cálculos Judiciais, julho/2016 offset_paginacao=0
# 'extinto' no valor é do original: acima do teto não há direito à cota.
# Erros de digitação do original foram preservados (ver relatório).
pagina_pdf,item,grupo,competencia,remuneracao,valor_salario_familia,fundamentacao_legal,observacao
382,18.3,1,Jan/91,,"175,30","Portaria MTPS nº 3014, DOU 07/01/91",
382,18.3,2,Fev/91,,"226,07","Portaria MTPS nº 3076, DOU 07/02/91",
382,18.3,3,Mar/91,,"241,78","Portaria MTPS nº 3112, DOU 06/03/91",
382,18.3,4,01/04/91 a 04/04/9116,,"241,78","Portaria MTPS nº 3112, DOU 06/03/91",
382,18.3,5,05/04/91 a dez/91,"Até 51.000,00","1.360,00","Portaria MTPS 3400/91, DOU 08/08/91",
382,18.3,5,05/04/91 a dez/91,"Acima de 51.000,00","170,00","Portaria MTPS 3400/91, DOU 08/08/91",
382,18.3,6,jan/92 a abr/92,"Até 276.978,83","7.386,11","Portaria MTPS 3038/92, DOU 27/01/92",
382,18.3,6,jan/92 a abr/92,"Acima de 276.978,83","923,26","Portaria MTPS 3038/92, DOU 27/01/92",
382,18.3,7,Mai/92 a ago/92,"Até 638.052,75","17.014,76","Portaria MPS 55/92, DOU 15/05/92",
382,18.3,7,Mai/92 a ago/92,"Acima de 638.052,75","2.126,84","Portaria MPS 55/92, DOU 15/05/92",
382,18.3,8,Set/92 a dez/92,"Até 1.434.259,00","38.246,95","Portaria MPS 449/92, DOU 17/09/92",
382,18.3,8,Set/92 a dez/92,"Acima de 1.434.259,00","4.780,86","Portaria MPS 449/92, DOU 17/09/92",
382,18.3,9,jan/93 a fev/93,"Até 3.459.616,29","92.256,54","Portaria MPS 9/1993, DOU 15/01/93",
382,18.3,9,jan/93 a fev/93,"Acima de 3.459.616,29","11.532,05","Portaria MPS 9/1993, DOU 15/01/93",
382,18.3,10,mar/93 a abr/93,"Até 4.728.257,59","126.087,01","Portaria MPS 80/93, DOU 03/03/1993",
382,18.3,10,mar/93 a abr/93,"Acima de 4.728.257,59","15.760,85","Portaria MPS 80/93, DOU 03/03/1993",
382,18.3,11,mai/93 a jun/93,"Até 9.064.419,69","241.718,13",O.S. INSS/DAF nº 76/93 DOU 13/05/1993,
382,18.3,11,mai/93 a jun/93,"Acima de 9.064.419,69","30.214,71",O.S. INSS/DAF nº 76/93 DOU 13/05/1993,
382,18.3,12,Jul/93,"Até 12.731.793,25","339.514,87","Portaria MPS 341/1993, DOU 07/07/93",
382,18.3,12,Jul/93,"Acima de 12.731.793,25","42.439,28","Portaria MPS 341/1993, DOU 07/07/93",
382,18.3,13,Ago/93,"Até 15.183,93","404,90","Portaria MPS 421/93, DOU 11/08/93",
382,18.3,13,Ago/93,"Acima de 15.183,93","50,60","Portaria MPS 421/93, DOU 11/08/93",
382,18.3,14,Set/93,"Até 25.924,48","691,31","Portaria MPS 421/93, DOU 06/09/93, retif. DOU 09/09/93",
382,18.3,14,Set/93,"Acima de 25.924,48","86,4","Portaria MPS 421/93, DOU 06/09/93, retif. DOU 09/09/93",
382,18.3,15,Out/93,"Até 32.449,67","865,31",Portaria MPS 523/93 DOU 04/10/93,
382,18.3,15,Out/93,"Acima de 32.449,67","108,15",Portaria MPS 523/93 DOU 04/10/93,
382,18.3,16,Nov/93,"Até 40.536,13","1.080,95",O.S. INSS/DAF nº 95/93,
382,18.3,16,Nov/93,"Acima de 40.536,13","135,1",O.S. INSS/DAF nº 95/93,
382,18.3,17,Dez/93,"Até 50.625,57","1.350,00",O.S. INSS/DAF nº 99/93,
382,18.3,17,Dez/93,"Acima de 50.625,57","168,72",O.S. INSS/DAF nº 99/93,
382,18.3,18,Jan/94,"Até 88.738,58","2.366,63",O.S. INSS/DAF nº 104/94,
382,18.3,18,Jan/94,"Acima de 88.738,58","295,74",O.S. INSS/DAF nº 104/94,
383,18.3,19,Fev/94,"Até 115.582,02","3.082,15",O.S. INSS/DAF nº 106/94,
383,18.3,19,Fev/94,"Acima de 115.582,02","385,19",O.S. INSS/DAF nº 106/94,
383,18.3,20,Mar/94 a Jun/94,"Até 174,86 URV","4,66",O.S. INSS/DAF nº 10794,
383,18.3,20,Mar/94 a Jun/94,"Acima de 174,86 URV","0,58",O.S. INSS/DAF nº 10794,
383,18.3,21,jul/94 a Abr/95,"Até 174,86","4,66",O.S. INSS/DAF nº 10794,
383,18.3,21,jul/94 a Abr/95,"Acima de 174,86","0,58",O.S. INSS/DAF nº 10794,
383,18.3,22,Mai/95 a Abr/96,"Até 249,80","6,66",O.S. INSS/DAF nº 125/95,
383,18.3,22,Mai/95 a Abr/96,"Acima de 249,80","0,83",O.S. INSS/DAF nº 125/95,
383,18.3,23,Mai/96 a dez/96,"Até 287,27","7,66","Portaria MPAS 3242/96, DOU 13/05/96",
383,18.3,23,Mai/96 a dez/96,"Acima de 287,27","0,95","Portaria MPAS 3242/96, DOU 13/05/96",
383,18.3,24,Jan/97 a mai/97,"Até 287,27","7,67","O.S. INSS/DAF nº 153/97, DOU 28/01/97",
383,18.3,24,Jan/97 a mai/97,"Acima de 287,27","0,95","O.S. INSS/DAF nº 153/97, DOU 28/01/97",
383,18.3,25,Jun/97 a Mai/98,"Até 309,56","8,25","MP nº 1572-1, DOU 30/05/97",
383,18.3,25,Jun/97 a Mai/98,"Acima de 309,56","1,02","MP nº 1572-1, DOU 30/05/97",
383,18.3,26,Jun/98 a nov/98,"Até 324,45","8,65","Portaria MPAS nº 4479/98, DOU 05/06/98",
383,18.3,26,Jun/98 a nov/98,"Acima de 324,45","1,07","Portaria MPAS nº 4479/98, DOU 05/06/98",
383,18.3,27,Dez/98,"Até 324,45","8,65","O.S. INSS/DAF nº 196/98, DOU 23/12/98",
383,18.3,27,Dez/98,"Acima de 324,45","1,07","O.S. INSS/DAF nº 196/98, DOU 23/12/98",
383,18.3,28,Jan/99 a Abr/99,"Até 360,00","8,65","Portaria MPAS 4883/98, DOU 17/12/98",
383,18.3,28,Jan/99 a Abr/99,"Acima de 360,00",extinto,"Portaria MPAS 4883/98, DOU 17/12/98",
383,18.3,29,Mai/99 a Mai/00,"Até 376,60","9,05","Portaria MPAS nº 5.188/90, DOU 10/05/99",
383,18.3,29,Mai/99 a Mai/00,"Acima de 376,60",extinto,"Portaria MPAS nº 5.188/90, DOU 10/05/99",
383,18.3,30,Jun/00 a Mai/01,"Até 398,48","9,58","I.N. INSS/DC nº 26/00, DOU 15/06/00",
383,18.3,30,Jun/00 a Mai/01,"Acima de 398,48",extinto,"I.N. INSS/DC nº 26/00, DOU 15/06/00",
383,18.3,31,Jun/01 a Mai/02,"Até 429,01","10,31","Portaria MPAS 1987/01, DOU 05/06/01",
383,18.3,31,Jun/01 a Mai/02,"Acima de 429,01",extinto,"Portaria MPAS 1987/01, DOU 05/06/01",
383,18.3,32,Jun/02 a Mai/03,"Até 468,47","11,26","Portaria MPAS 525/02, DOU 31/05/02",
383,18.3,32,Jun/02 a Mai/03,"Acima de 468,47",extinto,"Portaria MPAS 525/02, DOU 31/05/02",
383,18.3,33,Jun/03 a abril/04,"Até 560,81","13,48","Decreto 4709/03, DOU 30/05/03",
383,18.3,33,Jun/03 a abril/04,"Acima de 560,81",extinto,"Decreto 4709/03, DOU 30/05/03",
383,18.3,34,Mai/04 a abril/05,"Até 390,00","20,00","Portaria MPS 479/04, DOU 10/05/04",
383,18.3,34,Mai/04 a abril/05,"Acima de 390,00 até 586,19","14,09","Portaria MPS 479/04, DOU 10/05/04",
383,18.3,35,Mai/05 a mar/06,"Até 414,78","21,27","Portaria MPS 822/0, DOU 12/05/05",
383,18.3,35,Mai/05 a mar/06,"Acima de 414,78 a 623,44","14,99","Portaria MPS 822/0, DOU 12/05/05",
383,18.3,36,abril/06 a jul/06,"Até 435,52","22,33","Portaria MPS 119/06, DOU 19/04/06",
383,18.3,36,abril/06 a jul/06,"Acima de 435,52 até 654,61","15,74","Portaria MPS 119/06, DOU 19/04/06",
383,18.3,37,Ago/06 a mar/07,"Até 435,56","22,34","Portaria MPS 342/06, DOU 17/08/06",
383,18.3,37,Ago/06 a mar/07,"Acima de 435,56 até 654,67","15,74","Portaria MPS 342/06, DOU 17/08/06",
384,18.3,38,Abril/07 a Fev/08,"Até 449,93","23,08","Portaria MPS 142, DOU 12/04/07",
384,18.3,38,Abril/07 a Fev/08,"Acima de 449,03 até 676,27","16,26","Portaria MPS 142, DOU 12/04/07",
384,18.3,39,Mar/08 a Jan/09,"Até 472,43","24,23","Portaria MPS 77, DOU 12/03/08",
384,18.3,39,Mar/08 a Jan/09,"Acima de 472,43 até 710,08","17,07","Portaria MPS 77, DOU 12/03/08",
384,18.3,40,Fev/09 a Dez/09,"Até 500,40","25,66","Portaria MPS 48, DOU 13/02/09",
384,18.3,40,Fev/09 a Dez/09,"Acima de 500,41 até 752,12","18,08","Portaria MPS 48, DOU 13/02/09",
384,18.3,41,Jan/10 a Dez/1017,"Até 531,12","27,64","Portaria MPS/MF 333, DOU 30/06/2010",
384,18.3,41,Jan/10 a Dez/1017,"Acima de 531,12 até 798,30","19,48","Portaria MPS/MF 333, DOU 30/06/2010",
384,18.3,42,Jan/11 a jun/11,"Até 573,58","29,41","Portaria MPS/MF 568, DOU 03/01/2011",
384,18.3,42,Jan/11 a jun/11,"Acima de 573,58 até 862,11","20,73","Portaria MPS/MF 568, DOU 03/01/2011",
384,18.3,43,Jul/11 a dez/11,"Até 573,58","29,43","Portaria MPS/MF 407, DOU 15/07/2011",
384,18.3,43,Jul/11 a dez/11,"Acima de 573,91 até 862,60","20,74","Portaria MPS/MF 407, DOU 15/07/2011",
384,18.3,44,Jan/12 a dez/12,"Até 608,80","31,22","Portaria MPS/MF 02, DOU 09/01/2012",
384,18.3,44,Jan/12 a dez/12,"Acima de 608,80 até 915,05","22,00","Portaria MPS/MF 02, DOU 09/01/2012",
384,18.3,45,Jan/13 a dez/13,"Até 646,55","33,16","Portaria MPS/MF 15, DOU 11/01/2013",
384,18.3,45,Jan/13 a dez/13,"Acima de 646,55 até 971,78","23,36","Portaria MPS/MF 15, DOU 11/01/2013",
384,18.3,46,Jan/14 a dez/14,"Até 682,50","35,00","Portaria MPS/MF 19, DOU 13/01/2014",
384,18.3,46,Jan/14 a dez/14,"Acima de 682,50 até 1.025,81","24,66","Portaria MPS/MF 19, DOU 13/01/2014",
384,18.3,47,Jan/15 a dez/15,"Até 725,02","37,18","Portaria MPS/MF 13, DOU 12/01/15",
384,18.3,47,Jan/15 a dez/15,"Acima de até 725,02 até 1.089,72","26,20","Portaria MPS/MF 13, DOU 12/01/15",
384,18.3,48,Jan/16 a dez/16,"Até 806,80","41,37","Portaria MPS/MF 1, DOU 11/01/16",
384,18.3,48,Jan/16 a dez/16,"Acima de 806,80 até 1.212,64","29,16","Portaria MPS/MF 1, DOU 11/01/16",
384,18.3,49,Jan/17 a dez/17,"Até 859,88","44,09","Portaria MF 8, DOU 16/01/17",
384,18.3,49,Jan/17 a dez/17,"De 859,89 a 1.292,43","31,07","Portaria MF 8, DOU 16/01/17",
