# OUT_OF_SCOPE — série de valores, não entra na skill.
# Manutenção separada (regra 4 de 01-plano-extracao.md). Aqui só como
# evidência de conferência contra a tabela mantida à parte.
# documento=manual-de-calculo-trabalhista_2016-1.pdf emissor=TRT-3, Secretaria de Cálculos Judiciais, julho/2016 offset_paginacao=0
pagina_pdf,item,vigencia_original,ordem,base_calculo,aliquota_pct,parcela_deduzir,deducao_por_dependente
389,18.6,Tabela imposto de renda PLR janeiro/13 a dezembro/13,1,"Até 6.000,00",0%,-,
389,18.6,Tabela imposto de renda PLR janeiro/13 a dezembro/13,2,"De 6.000,01 até 9.000,00","7,5","450,00",
389,18.6,Tabela imposto de renda PLR janeiro/13 a dezembro/13,3,"De 9.000,01 até 12.000,00","15,0","1.125,00",
389,18.6,Tabela imposto de renda PLR janeiro/13 a dezembro/13,4,"De 12.000,01 até 15.000,00","22,5","2.025,00",
389,18.6,Tabela imposto de renda PLR janeiro/13 a dezembro/13,5,"Acima de 15.000,00","27,5","2.775,00",
389,18.6,Tabela imposto de renda PLR janeiro/14 a março/15,1,"Até 6.270,00",0%,-,
389,18.6,Tabela imposto de renda PLR janeiro/14 a março/15,2,"De 6.270,01 até 9.405,00","7,5","470,25",
389,18.6,Tabela imposto de renda PLR janeiro/14 a março/15,3,"De 9.405,01 até 12.540,00","15,0","1.175,63",
389,18.6,Tabela imposto de renda PLR janeiro/14 a março/15,4,"De 12.540,01 até 15.675,00","22,5","2.116,13",
389,18.6,Tabela imposto de renda PLR janeiro/14 a março/15,5,"Acima de 15.675,00","27,5","2.899,88",
389,18.6,Tabela imposto de renda PLR abril/15......,1,"Até 6.677,55",0%,-,
389,18.6,Tabela imposto de renda PLR abril/15......,2,"De 6.677,56 até 9.922,28","7,5","500,82",
389,18.6,Tabela imposto de renda PLR abril/15......,3,"De 9.922,29 até 13.167,00","15,0","1.244,99",
389,18.6,Tabela imposto de renda PLR abril/15......,4,"De 13.167,01 até 16.380,38","22,5","2.232,51",
389,18.6,Tabela imposto de renda PLR abril/15......,5,"Acima de 16.380,38","27,5","3.051,53",
