# OUT_OF_SCOPE — série de valores, não entra na skill.
# Manutenção separada (regra 4 de 01-plano-extracao.md). Aqui só como
# evidência de conferência contra a tabela mantida à parte.
# documento=manual-de-calculo-trabalhista_2016-1.pdf emissor=TRT-3, Secretaria de Cálculos Judiciais, julho/2016 offset_paginacao=0
# p398 traz dois quadros para jan/10: o da Portaria 350/09 (revogada,
# usado nos cálculos de jan a jun/10) e o da Portaria 333/10. Os dois
# constam do original e ficam ambos aqui — sobreposição real, não erro.
pagina_pdf,item,vigencia_original,ordem,salario_contribuicao,aliquota_pct,teto_maximo
391,18.7,Jan/92 a abr/92,1,"Até 276.978,83","8,0","92.326,27"
391,18.7,Jan/92 a abr/92,2,"De 276.978,84 até 461.631,38","9,0","92.326,27"
391,18.7,Jan/92 a abr/92,3,"De 461.631,39 até 923.262,76","10,0","92.326,27"
391,18.7,Set/92 a dez/92,1,"Até 1.434.259,00","8,0","478.086,33"
391,18.7,Set/92 a dez/92,2,"De 1.434.259,00 até 2.390.431,66","9,0","478.086,33"
391,18.7,Set/92 a dez/92,3,"De 2.390.431,67 até 4.780.863,30","10,0","478.086,33"
391,18.7,Maio/92 a ago/92,1,"Até 638.052,75","8,0","212.684,25"
391,18.7,Maio/92 a ago/92,2,"De 638.052,76 até 1.0 63.421,25","9,0","212.684,25"
391,18.7,Maio/92 a ago/92,3,"De 1063.421,26 até 2.126.842,49","10,0","212.684,25"
392,18.7,Jan/93 a fev/93,1,"Até 3.459.616,29",8,"1.153.2105,42"
392,18.7,Jan/93 a fev/93,2,"De 3.459.616,30 até 5.766.027,14",9,"1.153.2105,42"
392,18.7,Jan/93 a fev/93,3,"De 5.766.027,15 até 11.532.054,23",10,"1.153.2105,42"
392,18.7,Maio/93 a jun/93,1,"Até 9.064.419,69","8,0","3.021.473,20"
392,18.7,Maio/93 a jun/93,2,"De 9.064.419,70 até 15.107.366,10","9,0","3.021.473,20"
392,18.7,Maio/93 a jun/93,3,"De 15.107.366,11 até 30.214.732,09","10,0","3.021.473,20"
392,18.7,Ago/93,1,"Até 15.183,93","7,7","5.061,31"
392,18.7,Ago/93,2,"De 15.183,94 até 25.306,55","8,77","5.061,31"
392,18.7,Ago/93,3,"De 25.306,56 até 50.613,12","9,77","5.061,31"
392,18.7,Out/93,1,"Até 32.449,67","8,0","10.816,56"
392,18.7,Out/93,2,"De 32.449,68 até 54.082,79","9,0","10.816,56"
392,18.7,Out/93,3,"De 54.082,80 até 108.165,62","10,0","10.816,56"
392,18.7,Dez/93,1,"Até 50.625,57","7,77","16.487,06"
392,18.7,Dez/93,2,"De 50.625,58 até 84.375,96","8,77","16.487,06"
392,18.7,Dez/93,3,"De 84.375,97 até 168.751,98","9,77","16.487,06"
392,18.7,Mar/93 a abr/93,1,"Até 4.728.257,59","8,0","1.576.085,85"
392,18.7,Mar/93 a abr/93,2,"De 4.728.257,60 até 7.880.429,29","9,0","1.576.085,85"
392,18.7,Mar/93 a abr/93,3,"De 7.880.429,30 até 15.760.858,52","10,0","1.576.085,85"
392,18.7,Jul/93,1,"Até 12.731.793,25","8,0","4.243.931,05"
392,18.7,Jul/93,2,"De 12.731.793,26 até 21.219.655,35","9,0","4.243.931,05"
392,18.7,Jul/93,3,"De 21.219.655,36 até 42.439.310,55","10,0","4.243.931,05"
392,18.7,Set/93,1,"Até 25.924,48","8,0","8.641,49"
392,18.7,Set/93,2,"De 25.924,49 até 43.207.47","9,0","8.641,49"
392,18.7,Set/93,3,"De 43.207,48 até 86.414,97","10,0","8.641,49"
392,18.7,Nov/93,1,"Até 40.536,13","8,0","13.512,04"
392,18.7,Nov/93,2,"De 40.536,14 até 67.560,22","9,0","13.512,04"
392,18.7,Nov/93,3,"De 67.560,23 até 135.120,49","10,0","13.512,04"
392,18.7,Jan/94,1,"Até 88.738,58","7,77","28.899,20"
392,18.7,Jan/94,2,"De 88.738,59 até 147.897,64","8,77","28.899,20"
392,18.7,Jan/94,3,"De 147.897,65 até 295.795,39","9,77","28.899,20"
392,18.7,Mar/94 a jun/94 em URV,1,"Até 174,86","7,77","56,95"
392,18.7,Mar/94 a jun/94 em URV,2,"De 174,87 até 291,43","8,77","56,95"
392,18.7,Mar/94 a jun/94 em URV,3,"De 291,44 até 582,86","9,77","56,95"
392,18.7,Fev/94,1,"Até 115.582,02","7,77","37.641,22"
392,18.7,Fev/94,2,"De 115.582,03 até 192.636,70","8,77","37.641,22"
392,18.7,Fev/94,3,"De 192.636,71 até 385.273,50","9,77","37.641,22"
392,18.7,Jul/94 a dez/94 em Real,1,"Até 174,86","7,77","56,95"
392,18.7,Jul/94 a dez/94 em Real,2,"De 174,87 até 291,43","8,77","56,95"
392,18.7,Jul/94 a dez/94 em Real,3,"De 291,44 até 582,86","9,77","56,95"
393,18.7,Jan/95 a abr/95,1,"Até 174,86","8,0","58,28"
393,18.7,Jan/95 a abr/95,2,"De 174,87 até 291,43","9,0","58,28"
393,18.7,Jan/95 a abr/95,3,"De 291,44 até 582,86","10,0","58,28"
393,18.7,Ago/95 a dez/95,1,"Até 249,80","8,0","91,59"
393,18.7,Ago/95 a dez/95,2,"De 249,81 até 416,33","9,0","91,59"
393,18.7,Ago/95 a dez/95,3,"De 416,34 até 832,66","11,0","91,59"
393,18.7,Maio/95 a jul/95,1,"Até 249,80","8,0","83,26"
393,18.7,Maio/95 a jul/95,2,"De 249,81 até 416,33","9,0","83,26"
393,18.7,Maio/95 a jul/95,3,"De 416,34 até 832,66","10,0","83,26"
393,18.7,Jan/96 a abr/96,1,"Até 249,80","8,0","91,59"
393,18.7,Jan/96 a abr/96,2,"De 249,81 até 416,33","9,0","91,59"
393,18.7,Jan/96 a abr/96,3,"De 416,34 até 832,66","11,0","91,59"
393,18.7,Maio/96 a dez/96,1,"Até 287,27","8,0","105,33"
393,18.7,Maio/96 a dez/96,2,"De 287,28 até 478,78","9,0","105,33"
393,18.7,Maio/96 a dez/96,3,"De 478,79 até 957,56","11,0","105,33"
393,18.7,01/01/1997 a 22.01.97,1,"Até 287,27","8,0","105,33"
393,18.7,01/01/1997 a 22.01.97,2,"De 287,28 até 478,78","9,0","105,33"
393,18.7,01/01/1997 a 22.01.97,3,"De 478,79 até 957,56","11,0","105,33"
393,18.7,Maio/97,1,"Até 287,27","7,82","105,33"
393,18.7,Maio/97,2,"De 287,28 até 360,00","8,82","105,33"
393,18.7,Maio/97,3,"De 360,01 até 478.78","9,00","105,33"
393,18.7,Maio/97,4,"De 478.78 até 957,56","11,00","105,33"
393,18.7,De 22/01/97 a abr/97,1,"Até 287,27","7,82","105,33"
393,18.7,De 22/01/97 a abr/97,2,"De 287,28 até 336,00","8,82","105,33"
393,18.7,De 22/01/97 a abr/97,3,"De 337,00 até 478,78","9,00","105,33"
393,18.7,De 22/01/97 a abr/97,4,"De 478,79 até 957,56","11,0","105,33"
393,18.7,Jun/97 a dez/97,1,"Até 309,56","7,82","113,51"
393,18.7,Jun/97 a dez/97,2,"De 309,57 até 360,00","8,82","113,51"
393,18.7,Jun/97 a dez/97,3,"De 360,01 até 515,93","9,00","113,51"
393,18.7,Jun/97 a dez/97,4,"De 515,94 até 1.031,87","11,00","113,51"
394,18.7,Jan/98 a abr/98,1,"Até 309,56","7,82","113,51"
394,18.7,Jan/98 a abr/98,2,"De 309,57 até 360,00","8,82","113,51"
394,18.7,Jan/98 a abr/98,3,"De 360,01 até 515,93","9,00","113,51"
394,18.7,Jan/98 a abr/98,4,"De 515,94 até 1.031,87","11,00","113,51"
394,18.7,Jun/98 a nov/98,1,"Até 324,45","7,82","118,97"
394,18.7,Jun/98 a nov/98,2,"De 324,46 até 390,00","8,82","118,97"
394,18.7,Jun/98 a nov/98,3,"De 390,01 até 540,75","9,00","118,97"
394,18.7,Jun/98 a nov/98,4,"De 540,76 até 1.081,50","11,00","118,97"
394,18.7,Maio/98,1,"Até 309,56","7,82","113,51"
394,18.7,Maio/98,2,"De 309,57 até 390,00","8,82","113,51"
394,18.7,Maio/98,3,"De 390,01 até 515,93","9,00","113,51"
394,18.7,Maio/98,4,"De 515,94 até 1.031,87","11,00","113,51"
394,18.7,Dez/98,1,"Até 360,00","7,82","132,00"
394,18.7,Dez/98,2,"De 360,01 até 390,00","8,82","132,00"
394,18.7,Dez/98,3,"De 390,01 até 600,00","9,00","132,00"
394,18.7,Dez/98,4,"De 600,01 até 1.200,00","11,00","132,00"
394,18.7,Jan/99 a maio/99,1,"Até 360,00","8,00","132,00"
394,18.7,Jan/99 a maio/99,2,"De 360,01 até 600,00","9,00","132,00"
394,18.7,Jan/99 a maio/99,3,"De 600,01 até 1.200,00","11,00","132,00"
394,18.7,17/06/99 a dez/99,1,"Até 376,60","7,65","138,09"
394,18.7,17/06/99 a dez/99,2,"De 376,61 até 408,00","8,65","138,09"
394,18.7,17/06/99 a dez/99,3,"De 408,01 até 627,66","9,00","138,09"
394,18.7,17/06/99 a dez/99,4,"De 627,67 até 1.255,32","11,00","138,09"
394,18.7,01/06/99 até 16/06/99,1,"Até 376,60","8,00","138,09"
394,18.7,01/06/99 até 16/06/99,2,"De 376,61 até 627,66","9,00","138,09"
394,18.7,01/06/99 até 16/06/99,3,"De 627,67 até 1.255,32","11,00","138,09"
395,18.7,Jan/00 a mar/00,1,"Até 376,60","7,65","138,09"
395,18.7,Jan/00 a mar/00,2,"De 376,61 até 408,00","8,65","138,09"
395,18.7,Jan/00 a mar/00,3,"De 408,01 até 627,66","9,00","138,09"
395,18.7,Jan/00 a mar/00,4,"De 627,67 até 1.255,32","11,00","138,09"
395,18.7,Maio/00,1,"Até 376,60","7,65","138,09"
395,18.7,Maio/00,2,"De 376,61 até 453,00","8,65","138,09"
395,18.7,Maio/00,3,"De 453,01 até 627,66","9,00","138,09"
395,18.7,Maio/00,4,"De 627,67 até 1.255,32","11,00","138,09"
395,18.7,A partir de 17 de junho de 2000,1,"Até 398,48","7,72","146,11"
395,18.7,A partir de 17 de junho de 2000,2,"De 398,49 até 453,00","8,73","146,11"
395,18.7,A partir de 17 de junho de 2000,3,"De 453,01 até 664,13","9,00","146,11"
395,18.7,A partir de 17 de junho de 2000,4,"De 627,67 até 1.328,25","11,00","146,11"
395,18.7,Abr/00,1,"Até 376,60","7,65","138,09"
395,18.7,Abr/00,2,"De 376,61 até 450,00","8,65","138,09"
395,18.7,Abr/00,3,"De 450,01 até 627,66","9,00","138,09"
395,18.7,Abr/00,4,"De 627,67 até 1.255,32","11,00","138,09"
395,18.7,De 1o a 16 de junho de 2000,1,"Até 398,48","7,65","146,11"
395,18.7,De 1o a 16 de junho de 2000,2,"De 398,49 até 453,00","8,65","146,11"
395,18.7,De 1o a 16 de junho de 2000,3,"De 453,01 até 664,13","9,00","146,11"
395,18.7,De 1o a 16 de junho de 2000,4,"De 664,14 até 1.328,25","11,00","146,11"
395,18.7,Jul/00 a dez/00,1,"Até 398,48","7,72","146,11"
395,18.7,Jul/00 a dez/00,2,"De 398,49 até 453,00","8,73","146,11"
395,18.7,Jul/00 a dez/00,3,"De 453,01 até 664,13","9,00","146,11"
395,18.7,Jul/00 a dez/00,4,"De 664,14 até 1.328,25","11,00","146,11"
395,18.7,Jan/01 a fev/01,1,"Até 398,48","7,72","146,11"
395,18.7,Jan/01 a fev/01,2,"De 398,49 até 453,00","8,73","146,11"
395,18.7,Jan/01 a fev/01,3,"De 453,01 até 664,13","9,00","146,11"
395,18.7,Jan/01 a fev/01,4,"De 664,14 até 1.328,25","11,00","146,11"
395,18.7,Abr/01 a maio/01,1,"Até 398,48","7,65","146,11"
395,18.7,Abr/01 a maio/01,2,"De 398,49 até 540,00","8,65","146,11"
395,18.7,Abr/01 a maio/01,3,"De 540,01 até 664,13","9,00","146,11"
395,18.7,Abr/01 a maio/01,4,"De 664,14 até 1.328,25","11,00","146,11"
395,18.7,Mar/01,1,"Até 398,48","7,65","146,11"
395,18.7,Mar/01,2,"De 398,49 até 453,00","8,65","146,11"
395,18.7,Mar/01,3,"De 453,01 até 664,13","9,00","146,11"
395,18.7,Mar/01,4,"De 664,14 até 1.328,25","11,00","146,11"
395,18.7,Jun/01 a dez/01,1,"Até 429,00","7,65","157,30"
395,18.7,Jun/01 a dez/01,2,"De 429,01 até 540,00","8,65","157,30"
395,18.7,Jun/01 a dez/01,3,"De 540,01 até 715,00","9,00","157,30"
395,18.7,Jun/01 a dez/01,4,"De 715,01 até 1.430,00","11,00","157,30"
396,18.7,Jan/02 a mar/02,1,"Até 429,00","7,65","157,30"
396,18.7,Jan/02 a mar/02,2,"De 429,01 até 540,00","8,65","157,30"
396,18.7,Jan/02 a mar/02,3,"De 540,01 até 715,00","9,00","157,30"
396,18.7,Jan/02 a mar/02,4,"De 715,01 até 1.430,00","11,00","157,30"
396,18.7,Jun/02 a dez/02,1,"Até 468,47","7,65","171,77"
396,18.7,Jun/02 a dez/02,2,"De 468,48 até 600,00","8,65","171,77"
396,18.7,Jun/02 a dez/02,3,"De 600,01 até 780,78","9,00","171,77"
396,18.7,Jun/02 a dez/02,4,"De 780,79 até 1.561,56","11,00","171,77"
396,18.7,Abr/02 a maio/02,1,"Até 429,00","7,65","157,30"
396,18.7,Abr/02 a maio/02,2,"De 429,01 até 600,00","8,65","157,30"
396,18.7,Abr/02 a maio/02,3,"De 600,01 até 715,00","9,00","157,30"
396,18.7,Abr/02 a maio/02,4,"De 715,01 até 1.430,00","11,00","157,30"
396,18.7,Jan/03 a mar/03,1,"Até 468,47","7,65","171,77"
396,18.7,Jan/03 a mar/03,2,"De 468,48 até 600,00","8,65","171,77"
396,18.7,Jan/03 a mar/03,3,"De 600,01 até 780,78","9,00","171,77"
396,18.7,Jan/03 a mar/03,4,"De 780,79 até 1.561,56","11,00","171,77"
396,18.7,Jun/03 a dez/03,1,"Até 560,81","7,65","205,63"
396,18.7,Jun/03 a dez/03,2,"De 560,82 até 720,00","8,65","205,63"
396,18.7,Jun/03 a dez/03,3,"De 720,01 até 934,67","9,00","205,63"
396,18.7,Jun/03 a dez/03,4,"De 934,68 até 1.869,34","11,00","205,63"
396,18.7,Abr/03 a maio/03,1,"Até 468,47","7,65","171,77"
396,18.7,Abr/03 a maio/03,2,"De 468,48 até 720,00","8,65","171,77"
396,18.7,Abr/03 a maio/03,3,"De 720,01 até 780,78","9,00","171,77"
396,18.7,Abr/03 a maio/03,4,"De 780,79 até 1.561,56","11,00","171,77"
396,18.7,Jan/04 a abr/04,1,"Até 720,00","7,65","264,00"
396,18.7,Jan/04 a abr/04,2,"De 720,01até 1.200,00","9,00","264,00"
396,18.7,Jan/04 a abr/04,3,"De 1.200,01 até 2.400,00","11,00","264,00"
396,18.7,Maio/04 a dez/04,1,"Até 752,62","7,65","275,96"
396,18.7,Maio/04 a dez/04,2,"De 752,63 a 780,00","8,65","275,96"
396,18.7,Maio/04 a dez/04,3,"De 780,01até 1.254,36","9,00","275,96"
396,18.7,Maio/04 a dez/04,4,"De 1.254,37 até 2.508,72","11,00","275,96"
396,18.7,Jan/05 a abr/05,1,"Até 752,62","7,65","275,96"
396,18.7,Jan/05 a abr/05,2,"De 752,63 a 780,00","8,65","275,96"
396,18.7,Jan/05 a abr/05,3,"De 780,01até 1.254,36","9,00","275,96"
396,18.7,Jan/05 a abr/05,4,"De 1.254,37 até 2.508,72","11,00","275,96"
396,18.7,Mai/05 a dez/05,1,"Até 800,45","7,65","293,50"
396,18.7,Mai/05 a dez/05,2,"De 800,46 a 900,00","8,65","293,50"
396,18.7,Mai/05 a dez/05,3,"De 900,01 até 1.334,07","9,00","293,50"
396,18.7,Mai/05 a dez/05,4,"De 1.334,08 até 2.668,15","11,00","293,50"
397,18.7,Jan/06 a mar/06,1,"Até 800,45","7,65","293,50"
397,18.7,Jan/06 a mar/06,2,"De 800,46 a 900,00","8,65","293,50"
397,18.7,Jan/06 a mar/06,3,"De 900,01 até 1.334,07","9,00","293,50"
397,18.7,Jan/06 a mar/06,4,"De 1.334,08 até 2.668,15","11,00","293,50"
397,18.7,Ago/06 a dez/06,1,"Até 840,55","7,65","308,20"
