# OUT_OF_SCOPE — série de valores, não entra na skill.
# Manutenção separada (regra 4 de 01-plano-extracao.md). Aqui só como
# evidência de conferência contra a tabela mantida à parte.
# documento=manual-de-calculo-trabalhista_2016-1.pdf emissor=TRT-3, Secretaria de Cálculos Judiciais, julho/2016 offset_paginacao=0
pagina_pdf,item,quadro,competencia,aliquota_pct,limite_de,limite_ate
390,18.7,jan/82 a mai/89,jan/82,"8,50",,"35.784,00"
390,18.7,jan/82 a mai/89,jan/82,"8,75","35.784,01","59.640,00"
390,18.7,jan/82 a mai/89,jan/82,"9,00","59.640,01","119.280,00"
390,18.7,jan/82 a mai/89,jan/82,"9,50","119.280,01","178.920,00"
390,18.7,jan/82 a mai/89,jan/82,10,"178.920,01","238.560,00"
390,18.7,jan/82 a mai/89,mai/82,"8,50",,"49.824,00"
390,18.7,jan/82 a mai/89,mai/82,"8,75","49.824,01","83.040,00"
390,18.7,jan/82 a mai/89,mai/82,"9,00","83.040,01","166.080,00"
390,18.7,jan/82 a mai/89,mai/82,"9,50","166.080,01","249.120,00"
390,18.7,jan/82 a mai/89,mai/82,10,"249.120,01","332.160,00"
390,18.7,jan/82 a mai/89,nov/82,"8,50",,"70.704,00"
390,18.7,jan/82 a mai/89,nov/82,"8,75","70.704,01","117.840,00"
390,18.7,jan/82 a mai/89,nov/82,"9,00","117.840,01","235.680,00"
390,18.7,jan/82 a mai/89,nov/82,"9,50","235.680,01","353.520,00"
390,18.7,jan/82 a mai/89,nov/82,10,"353.520,01","471.360,00"
390,18.7,jan/82 a mai/89,mai/83,"8,50",,"104.328,00"
390,18.7,jan/82 a mai/89,mai/83,"8,75","104.328,01","173.880,00"
390,18.7,jan/82 a mai/89,mai/83,"9,00","173.880,01","347.760,00"
390,18.7,jan/82 a mai/89,mai/83,"9,50","347.760,01","521.640,00"
390,18.7,jan/82 a mai/89,mai/83,10,"521.640,01","695.520,00"
390,18.7,jan/82 a mai/89,nov/83,"8,50",,"171.360,00"
390,18.7,jan/82 a mai/89,nov/83,"8,75","171.360,01","285.600,00"
390,18.7,jan/82 a mai/89,nov/83,"9,00","285.600,01","571.200,00"
390,18.7,jan/82 a mai/89,nov/83,"9,50","571.200,01","856.800,00"
390,18.7,jan/82 a mai/89,nov/83,10,"856.800,01","1.142.400,00"
390,18.7,jan/82 a mai/89,mai/84,"8,50",,"291.528,00"
390,18.7,jan/82 a mai/89,mai/84,"8,75","291.528,01","485.880,00"
390,18.7,jan/82 a mai/89,mai/84,"9,00","485.880,01","971.760,00"
390,18.7,jan/82 a mai/89,mai/84,"9,50","971.760,01","1.457.640,00"
390,18.7,jan/82 a mai/89,mai/84,10,"1.457.640,01","1.943.520,00"
390,18.7,jan/82 a mai/89,nov/84,"8,50",,"499.680,00"
390,18.7,jan/82 a mai/89,nov/84,"8,75","499.680,01","832.800,00"
390,18.7,jan/82 a mai/89,nov/84,"9,00","832.800,01","1.665.600,00"
390,18.7,jan/82 a mai/89,nov/84,"9,50","1.665.600,01","2.498.400,00"
390,18.7,jan/82 a mai/89,nov/84,10,"2.498.400,01","3.331.200,00"
390,18.7,jan/82 a mai/89,mai/85,"8,50",,"999.360,00"
390,18.7,jan/82 a mai/89,mai/85,"8,75","999.360,01","1.665.600,00"
390,18.7,jan/82 a mai/89,mai/85,"9,00","1.665.600,01","3.331.200,00"
390,18.7,jan/82 a mai/89,mai/85,"9,50","3.331.200,01","4.996.800,00"
390,18.7,jan/82 a mai/89,mai/85,10,"4.996.800,01","6.662.400,00"
390,18.7,jan/82 a mai/89,nov/85,"8,50",,"1.800.000,00"
390,18.7,jan/82 a mai/89,nov/85,"8,75","1.800.000,01","3.000.000,00"
390,18.7,jan/82 a mai/89,nov/85,"9,00","3.000.000,01","6.000.000,00"
390,18.7,jan/82 a mai/89,nov/85,"9,50","6.000.000,01","9.000.000,00"
390,18.7,jan/82 a mai/89,nov/85,10,"9.000.000,01","12.000.000,00"
390,18.7,jan/82 a mai/89,mar/86,"8,50",,"2.412,00"
390,18.7,jan/82 a mai/89,mar/86,"8,75","2.412,01","4.020,00"
390,18.7,jan/82 a mai/89,mar/86,"9,00","4.020,01","8.040,00"
390,18.7,jan/82 a mai/89,mar/86,"9,50","8.040,01","12.060,00"
390,18.7,jan/82 a mai/89,mar/86,10,"12.060,01","16.080,00"
390,18.7,jan/82 a mai/89,jan/87,"8,50",,"2.894,40"
390,18.7,jan/82 a mai/89,jan/87,"8,75","2.894,41","4.824,00"
390,18.7,jan/82 a mai/89,jan/87,"9,00","4.824,01","9.648,00"
390,18.7,jan/82 a mai/89,jan/87,"9,50","9.648,01","14.472,00"
390,18.7,jan/82 a mai/89,jan/87,10,"14.472,01","19.296,00"
390,18.7,jan/82 a mai/89,mar/87,"8,50",,"4.104,00"
390,18.7,jan/82 a mai/89,mar/87,"8,75","4.104,01","6.840,00"
390,18.7,jan/82 a mai/89,mar/87,"9,00","6.840,01","13.680,00"
390,18.7,jan/82 a mai/89,mar/87,"9,50","13.680,01","20.520,00"
390,18.7,jan/82 a mai/89,mar/87,10,"20.520,01","27.360,00"
390,18.7,jan/82 a mai/89,mai/87,"8,50",,"4.924,80"
390,18.7,jan/82 a mai/89,mai/87,"8,75","4.924,81","8.208,00"
390,18.7,jan/82 a mai/89,mai/87,"9,00","8.208,01","16.416,00"
390,18.7,jan/82 a mai/89,mai/87,"9,50","16.416,01","24.624,00"
390,18.7,jan/82 a mai/89,mai/87,10,"24.624,01","32.832,00"
390,18.7,jan/82 a mai/89,jun/87,"8,50",,"5.909,76"
390,18.7,jan/82 a mai/89,jun/87,"8,75","5.909,77","9.849,60"
390,18.7,jan/82 a mai/89,jun/87,"9,00","9.849,61","19.699,20"
390,18.7,jan/82 a mai/89,jun/87,"9,50","19.699,21","29.548,80"
390,18.7,jan/82 a mai/89,jun/87,10,"29.548,81","39.398,40"
390,18.7,jan/82 a mai/89,ago/87,"8,50",,"5.910,00"
390,18.7,jan/82 a mai/89,ago/87,"8,75","5.910,01","9.850,00"
390,18.7,jan/82 a mai/89,ago/87,"9,00","9.850,01","19.700,00"
390,18.7,jan/82 a mai/89,ago/87,"9,50","19.700,01","29.550,00"
390,18.7,jan/82 a mai/89,ago/87,10,"29.550,01","39.400,00"
390,18.7,jan/82 a mai/89,set/87,"8,50",,"6.186,93"
390,18.7,jan/82 a mai/89,set/87,"8,75","6.186,94","10.311,55"
390,18.7,jan/82 a mai/89,set/87,"9,00","10.311,56","20.623,10"
390,18.7,jan/82 a mai/89,set/87,"9,50","20.623,11","30.934,65"
390,18.7,jan/82 a mai/89,set/87,10,"30.934,66","41.246,20"
390,18.7,jan/82 a mai/89,out/87,"8,50",,"6.477,27"
390,18.7,jan/82 a mai/89,out/87,"8,75","6.477,28","10.795,45"
390,18.7,jan/82 a mai/89,out/87,"9,00","10.795,46","21.590,90"
390,18.7,jan/82 a mai/89,out/87,"9,50","21.590,91","32.386,35"
390,18.7,jan/82 a mai/89,out/87,10,"32.386,36","43.181,80"
390,18.7,jan/82 a mai/89,nov/87,"8,50",,"6.780,87"
390,18.7,jan/82 a mai/89,nov/87,"8,75","6.780,88","11.301,45"
390,18.7,jan/82 a mai/89,nov/87,"9,00","11.301,46","22.602,90"
390,18.7,jan/82 a mai/89,nov/87,"9,50","22.602,91","33.904,35"
390,18.7,jan/82 a mai/89,nov/87,10,"33.904,36","45.205,80"
390,18.7,jan/82 a mai/89,dez/87,"8,50",,"7.650,00"
390,18.7,jan/82 a mai/89,dez/87,"8,75","7.650,01","12.750,00"
390,18.7,jan/82 a mai/89,dez/87,"9,00","12.750,01","25.500,00"
390,18.7,jan/82 a mai/89,dez/87,"9,50","25.500,01","38.250,00"
390,18.7,jan/82 a mai/89,dez/87,10,"38.250,01","51.000,00"
390,18.7,jan/82 a mai/89,jan/88,"8,50",,"9.180,00"
390,18.7,jan/82 a mai/89,jan/88,"8,75","9.180,01","15.300,00"
390,18.7,jan/82 a mai/89,jan/88,"9,00","15.300,01","30.600,00"
390,18.7,jan/82 a mai/89,jan/88,"9,50","30.600,01","45.900,00"
390,18.7,jan/82 a mai/89,jan/88,10,"45.900,01","61.200,00"
390,18.7,jan/82 a mai/89,fev/88,"8,50",,"10.800,00"
390,18.7,jan/82 a mai/89,fev/88,"8,75","10.800,01","18.000,00"
390,18.7,jan/82 a mai/89,fev/88,"9,00","18.000,01","36.000,00"
390,18.7,jan/82 a mai/89,fev/88,"9,50","36.000,01","54.000,00"
390,18.7,jan/82 a mai/89,fev/88,10,"54.000,01","72.000,00"
390,18.7,jan/82 a mai/89,mar/88,"8,50",,"12.384,27"
390,18.7,jan/82 a mai/89,mar/88,"8,75","12.384,28","20.640,45"
390,18.7,jan/82 a mai/89,mar/88,"9,00","20.640,46","41.280,90"
390,18.7,jan/82 a mai/89,mar/88,"9,50","41.280,91","61.921,35"
390,18.7,jan/82 a mai/89,mar/88,10,"61.921,36","82.561,80"
390,18.7,jan/82 a mai/89,abr/88,"8,50",,"14.796,00"
390,18.7,jan/82 a mai/89,abr/88,"8,75","14.796,01","24.660,00"
