# OUT_OF_SCOPE — série de valores, não entra na skill.
# Manutenção separada (regra 4 de 01-plano-extracao.md). Aqui só como
# evidência de conferência contra a tabela mantida à parte.
# documento=manual-de-calculo-trabalhista_2016-1.pdf emissor=TRT-3, Secretaria de Cálculos Judiciais, julho/2016 offset_paginacao=0
# RPS (Dec. 3048/99), Anexo V, vigente até 31/05/2007. Códigos CNAE 1.0.
# grau 1 = risco leve (1%), 2 = médio (2%), 3 = grave (3%) — do próprio
# cabeçalho do original, p400. Os títulos de divisão e grupo (sem grau)
# não entram: a linha de dado é a que tem grau de risco.
pagina_pdf,item,codigo_cnae,codigo_no_original,descricao_atividade,grau_risco,aliquota_pct
400,18.8.1,01.11-2,,cultivo de cereais,3,"3,00"
400,18.8.1,01.12-0,,cultivo de algodão herbáceo,3,"3,00"
400,18.8.1,01.13-9,,cultivo de cana-de-açúcar,3,"3,00"
400,18.8.1,01.14-7,,cultivo de fumo,3,"3,00"
400,18.8.1,01.15-5,,cultivo de soja,3,"3,00"
400,18.8.1,01.19-8,,cultivo de outros produtos temporários,3,"3,00"
400,18.8.1,01.21-0,,"cultivo de hortaliças, legumes e especiarias hortícolas",3,"3,00"
400,18.8.1,01.22-8,,cultivo de flores e plantas ornamentais,3,"3,00"
400,18.8.1,01.31-7,,cultivo de frutas cítricas,3,"3,00"
400,18.8.1,01.32-5,,cultivo de café,3,"3,00"
400,18.8.1,01.33-3,,cultivo de cacau,3,"3,00"
400,18.8.1,01.34-1,,cultivo de uva,3,"3,00"
400,18.8.1,01.39-2,,"cultivo de outras frutas, frutos secos, plantas para preparo de bebidas e para produção de condimentos",3,"3,00"
400,18.8.1,01.41-4,,criação de bovinos,3,"3,00"
400,18.8.1,01.42-2,,criação de outros animais de grande porte,3,"3,00"
400,18.8.1,01.43-0,,criação de ovinos,3,"3,00"
400,18.8.1,01.44-9,,criação de suínos,3,"3,00"
400,18.8.1,01.45-7,,criação de aves,3,"3,00"
400,18.8.1,01.46-5,,criação de outros animais,3,"3,00"
400,18.8.1,01.50-3,,produção mista: lavoura e pecuária,3,"3,00"
400,18.8.1,01.61-9,,atividades de serviços relacionados com a agricultura,3,"3,00"
400,18.8.1,01.62-7,,"atividades de serviços relacionados com a pecuária, exceto atividades veterinárias",3,"3,00"
400,18.8.1,02.11-9,,silvicultura,3,"3,00"
400,18.8.1,02.12-7,,exploração florestal,3,"3,00"
400,18.8.1,02.13-5,,atividades dos serviços relacionados com a silvicultura e a exploração florestal,3,"3,00"
401,18.8.1,05.11-8,,pesca,3,"3,00"
401,18.8.1,05.12-6,,aqüicultura,3,"3,00"
401,18.8.1,10.00-6,,extração de carvão mineral,3,"3,00"
401,18.8.1,11.10-0,,extração de petróleo e gás natural,3,"3,00"
401,18.8.1,11.20-7,,"serviços relacionados com a extração de petróleo e gás, exceto a prospecção realizada por terceiros",3,"3,00"
401,18.8.1,13.10-2,,extração de minério de ferro,3,"3,00"
401,18.8.1,13.21-8,,extração de minério de alumínio,3,"3,00"
401,18.8.1,13.22-6,,extração de minério de estanho,3,"3,00"
401,18.8.1,13.23-4,,extração de minério de manganês,3,"3,00"
401,18.8.1,13.24-2,,extração de minério de metais preciosos,3,"3,00"
401,18.8.1,13.25-0,,extração de minerais radioativos,3,"3,00"
401,18.8.1,13.29-3,,extração de outros minerais metálicos não-ferrosos,3,"3,00"
401,18.8.1,14.10-9,,"extração de pedra, areia e argila",3,"3,00"
401,18.8.1,14.21-4,,"extração de minerais para fabricação de adubos, fertilizantes e produtos químicos",3,"3,00"
401,18.8.1,14.22-2,,extração e refino de sal marinho e sal-gema,3,"3,00"
401,18.8.1,14.29-0,,extração de outros minerais não-metálicos,3,"3,00"
401,18.8.1,15.11-3,,"abate de reses, preparação de produtos de carne",3,"3,00"
401,18.8.1,15.12-1,,abate de aves e outros pequenos animais e preparação de produtos de carne,3,"3,00"
401,18.8.1,15.13-0,,"preparação de carne, banha e produtos de salsicharia não associadas ao abate",3,"3,00"
401,18.8.1,15.14-8,,"preparação e preservação do pescado e fabricação de conservas de peixes, crustáceos e moluscos",3,"3,00"
401,18.8.1,15.21-0,,"processamento, preservação e produção de conservas de frutas",3,"3,00"
401,18.8.1,15.22-9,,"processamento, preservação e produção de conservas de legumes e outros vegetais",3,"3,00"
401,18.8.1,15.23-7,,produção de sucos de frutas e de legumes,3,"3,00"
401,18.8.1,15.31-8,,produção de óleos vegetais em bruto,3,"3,00"
401,18.8.1,15.32-6,,refino de óleos vegetais,3,"3,00"
401,18.8.1,15.33-4,,preparação de margarina e outras gorduras vegetais e de óleos de origem animal não comestíveis,3,"3,00"
402,18.8.1,15.41-5,,preparação do leite,3,"3,00"
402,18.8.1,15.42-3,,fabricação de produtos do laticínio,3,"3,00"
402,18.8.1,15.43-1,,fabricação de sorvetes,3,"3,00"
402,18.8.1,15.51-2,,beneficiamento de arroz e fabricação de produtos do arroz,3,"3,00"
402,18.8.1,15.52-0,,moagem de trigo e fabricação de derivados,3,"3,00"
402,18.8.1,15.53-9,,fabricação de farinha de mandioca e derivados,3,"3,00"
402,18.8.1,15.54-7,,fabricação de fubá e farinha de milho,3,"3,00"
402,18.8.1,15.55-5,,fabricação de amidos e féculas de vegetais e fabricação de óleos de milho,3,"3,00"
402,18.8.1,15.56-3,,fabricação de rações balanceadas para animais,3,"3,00"
402,18.8.1,15.59-8,,"beneficiamento, moagem e preparação de outros alimentos de origem vegetal",3,"3,00"
402,18.8.1,15.61-0,,usinas de açúcar,3,"3,00"
402,18.8.1,15.62-8,,refino e moagem de açúcar,3,"3,00"
