# OUT_OF_SCOPE — série de valores, não entra na skill.
# Manutenção separada (regra 4 de 01-plano-extracao.md). Aqui só como
# evidência de conferência contra a tabela mantida à parte.
# documento=manual-de-calculo-trabalhista_2016-1.pdf emissor=TRT-3, Secretaria de Cálculos Judiciais, julho/2016 offset_paginacao=0
# Anexo I da IN/RFB 1027/10. Códigos CNAE 2.0 — codificação distinta da
# usada em 18.8.1, que é CNAE 1.0. As duas tabelas NÃO são versões de um
# mesmo arquivo: são normas sucessivas com chave diferente. Ver o JSON
# semântico trt3-18.8-grau-de-risco-estrutura.json.
# A coluna GILRAT está dividida por momento do fato gerador (Dec. 6.957/09).
pagina_pdf,item,tabela,codigo_cnae,gilrat_fg_ate_2009_12,gilrat_fg_desde_2010_01,fpas,descricao_atividade
418,18.8.2,ANEXO I - TABELA 1,0500-3/01,"2,00%","3,00%",507,Extração de carvão mineral
418,18.8.2,ANEXO I - TABELA 1,0500-3/02,"2,00%","3,00%",507,Beneficiamento de carvão mineral
418,18.8.2,ANEXO I - TABELA 1,0600-0/01,"2,00%","3,00%",507,Extração de petróleo e gás natural
418,18.8.2,ANEXO I - TABELA 1,0600-0/02,"2,00%","3,00%",507,Extração e beneficiamento de xisto
418,18.8.2,ANEXO I - TABELA 1,0600-0/03,"2,00%","3,00%",507,Extração e beneficiamento de areias betuminosas
418,18.8.2,ANEXO I - TABELA 1,0710-3/01,"2,00%","3,00%",507,Extração de minério de ferro
418,18.8.2,ANEXO I - TABELA 1,0710-3/02,"2,00%","3,00%",507,"Pelotização, sinterização e outros beneficiamentos de minério de ferro"
419,18.8.2,ANEXO I - TABELA 1,0721-9/01,"2,00%","3,00%",507,Extração de minério de alumínio
419,18.8.2,ANEXO I - TABELA 1,0721-9/02,"2,00%","3,00%",507,Beneficiamento de minério de alumínio
419,18.8.2,ANEXO I - TABELA 1,0722-7/01,"2,00%","3,00%",507,Extração de minério de estanho
419,18.8.2,ANEXO I - TABELA 1,0722-7/02,"2,00%","3,00%",507,Beneficiamento de minério de estanho
419,18.8.2,ANEXO I - TABELA 1,0723-5/01,"2,00%","3,00%",507,Extração de minério de manganês
419,18.8.2,ANEXO I - TABELA 1,0723-5/02,"2,00%","3,00%",507,Beneficiamento de minério de manganês
419,18.8.2,ANEXO I - TABELA 1,0724-3/01,"2,00%","3,00%",507,Extração de minério de metais preciosos
419,18.8.2,ANEXO I - TABELA 1,0724-3/02,"2,00%","3,00%",507,Beneficiamento de minério de metais preciosos
419,18.8.2,ANEXO I - TABELA 1,0725-1/00,"2,00%","3,00%",507,Extração de minerais radioativos
419,18.8.2,ANEXO I - TABELA 1,0729-4/01,"2,00%","3,00%",507,Extração de minérios de nióbio e titânio
419,18.8.2,ANEXO I - TABELA 1,0729-4/02,"2,00%","3,00%",507,Extração de minério de tungstênio
