# OUT_OF_SCOPE — série de valores, não entra na skill.
# Manutenção separada (regra 4 de 01-plano-extracao.md). Aqui só como
# evidência de conferência contra a tabela mantida à parte.
# documento=manual-de-calculo-trabalhista_2016-1.pdf emissor=TRT-3, Secretaria de Cálculos Judiciais, julho/2016 offset_paginacao=0
# 'Parcela mínima equivalente a um salário mínimo' é regra de piso do
# original, impressa fora da moldura da tabela — ver o relatório.
pagina_pdf,item,vigencia_original,ordem,faixa_salario_medio,valor_da_parcela
450,18.9,"Abr/06 a Mar/07(SM = 350,00)",1,"Até R$ 577,77","salário médio x 0,8 (80%)"
450,18.9,"Abr/06 a Mar/07(SM = 350,00)",2,"Mais de R$ 577,77 a R$ 963,04","O que exceder a 577,77 multiplica-se por 0,5 (50%) e soma-se a 462,21 (80% s/ 577,77)"
450,18.9,"Abr/06 a Mar/07(SM = 350,00)",3,"Acima de R$ 963,04","O valor da parcela será de R$ 654,85 invariavelmente"
450,18.9,"Abr/07 a Fev/08 (SM = 380,00)",1,"Até R$ 627,29","salário médio x 0,8 (80%)"
450,18.9,"Abr/07 a Fev/08 (SM = 380,00)",2,"Mais de R$ 627,29 a R$ 1.045,58","O que exceder a 627,29 multiplica-se por 0,5 (50%) e soma-se a 501,83 (80% s/ 627,79)"
450,18.9,"Abr/07 a Fev/08 (SM = 380,00)",3,"Acima de R$ 1.045,58","O valor da parcela será de R$ 710,97 invariavelmente"
450,18.9,"Mar/08 a Jan/09 (SM = 415,00)",1,"Até R$ 685,06","salário médio x 0,8 (80%)"
450,18.9,"Mar/08 a Jan/09 (SM = 415,00)",2,"Mais de R$ 685,06 a R$ 1.141,88","O que exceder a 685,06 multiplica-se por 0,5 (50%) e soma-se a 548,05 (80% s/ 685,06)"
450,18.9,"Mar/08 a Jan/09 (SM = 415,00)",3,"Acima de R$ 1.141,88","O valor da parcela será de R$ 776,46 invariavelmente"
450,18.9,"Fev/09 a Dez/09 (SM = 465,00)",1,"Até R$ 767,60","salário médio x 0,8 (80%)"
450,18.9,"Fev/09 a Dez/09 (SM = 465,00)",2,"Mais de R$ 767,60 a R$ 1.279,46","O que exceder a 767,60 multiplica-se por 0,5 (50%) e soma-se a 614,08 (80% s/ 767,60)"
450,18.9,"Fev/09 a Dez/09 (SM = 465,00)",3,"Acima de R$ 1.279,46","O valor da parcela será de R$ 870,01 invariavelmente"
450,18.9,"Jan/10 a Dez/10 (SM = 510,00)",1,"Até R$ 841,88","salário médio x 0,8 (80%)"
450,18.9,"Jan/10 a Dez/10 (SM = 510,00)",2,"Mais de R$ 841,89 a R$ 1.403,28","O que exceder a 841,88 multiplica-se por 0,5 (50%) e soma-se a 673,50 (80% s/ 841,88)"
450,18.9,"Jan/10 a Dez/10 (SM = 510,00)",3,"Acima de R$ 1.403,28","O valor da parcela será de R$ 954,21 invariavelmente"
451,18.9,"Jan/11 a Fev/11 (SM = 540,00)",1,"Até R$ 891,40","salário médio x 0,8 (80%)"
451,18.9,"Jan/11 a Fev/11 (SM = 540,00)",2,"Mais de R$ 891,40 a R$ 1.485,83","O que exceder a 891,40 multiplica-se por 0,5 (50%) e soma-se a 713,12 (80% s/ 891,40)"
451,18.9,"Jan/11 a Fev/11 (SM = 540,00)",3,"Acima de R$ 1.485,83","O valor da parcela será de R$ 1.010,34 invariavelmente"
451,18.9,"Mar/11 a Dez/11 (SM = 545,00)",1,"Até R$ 899,66","salário médio x 0,8 (80%)"
451,18.9,"Mar/11 a Dez/11 (SM = 545,00)",2,"Mais de R$ 899,66 a R$ 1.499,58","O que exceder a 899,66 multiplica-se por 0,5 (50%) e soma-se a 719,73 (80% s/ 899,66)"
451,18.9,"Mar/11 a Dez/11 (SM = 545,00)",3,"Acima de R$ 1.499,58","O valor da parcela será de R$ 1.019,70 invariavelmente"
451,18.9,"Jan/12 a Dez/12 (SM = 622,00)",1,"Até R$ 1.026,77","salário médio x 0,8 (80%)"
451,18.9,"Jan/12 a Dez/12 (SM = 622,00)",2,"Mais de R$ 1.026,77 a R$ 1.711,45","O que exceder a 1.026,77 multiplica-se por 0,5 (50%) e soma-se a 821,42 (80% s/ 1.026,77)"
451,18.9,"Jan/12 a Dez/12 (SM = 622,00)",3,"Acima de R$ 1.711,45","O valor da parcela será de R$ 1.163,76 invariavelmente"
