# OUT_OF_SCOPE — serie; manutencao separada (regra 4 de 01-plano-extracao.md)
# documento=manual-de-calculo-trabalhista_2016-1.pdf item=9.2.11 tabela='TABELA PRATICA DE ACRESCIMOS LEGAIS - TABELA I' pagina_pdf=178-179
competencia,competencia_original,coef_ufir,pct_juros_devido_ate_dez79,documento,item,pagina_pdf
1964-08,ago/64,"0,10418756",185,manual-de-calculo-trabalhista_2016-1.pdf,9.2.11,178
1964-09,set/64,"0,08785913",184,manual-de-calculo-trabalhista_2016-1.pdf,9.2.11,178
1964-10,out/64,"0,08785913",183,manual-de-calculo-trabalhista_2016-1.pdf,9.2.11,178
1964-11,nov/64,"0,08785913",182,manual-de-calculo-trabalhista_2016-1.pdf,9.2.11,178
1964-12,dez/64,"0,07745492",181,manual-de-calculo-trabalhista_2016-1.pdf,9.2.11,178
1965-01,jan/65,"0,07745492",180,manual-de-calculo-trabalhista_2016-1.pdf,9.2.11,178
1965-02,fev/65,"0,07745492",179,manual-de-calculo-trabalhista_2016-1.pdf,9.2.11,178
1965-03,mar/65,"0,07404481",178,manual-de-calculo-trabalhista_2016-1.pdf,9.2.11,178
1965-04,abr/65,"0,07404481",177,manual-de-calculo-trabalhista_2016-1.pdf,9.2.11,178
1965-05,mai/65,"0,07404481",176,manual-de-calculo-trabalhista_2016-1.pdf,9.2.11,178
1965-06,jun/65,"0,07092213",175,manual-de-calculo-trabalhista_2016-1.pdf,9.2.11,178
1965-07,jul/65,"0,07092213",174,manual-de-calculo-trabalhista_2016-1.pdf,9.2.11,178
1965-08,ago/65,"0,07092213",173,manual-de-calculo-trabalhista_2016-1.pdf,9.2.11,178
1965-09,set/65,"0,06689280",172,manual-de-calculo-trabalhista_2016-1.pdf,9.2.11,178
1965-10,out/65,"0,06689280",171,manual-de-calculo-trabalhista_2016-1.pdf,9.2.11,178
1965-11,nov/65,"0,06689280",170,manual-de-calculo-trabalhista_2016-1.pdf,9.2.11,178
1965-12,dez/65,"0,04924111",169,manual-de-calculo-trabalhista_2016-1.pdf,9.2.11,178
1966-01,jan/66,"0,04924111",168,manual-de-calculo-trabalhista_2016-1.pdf,9.2.11,178
1966-02,fev/66,"0,04924111",167,manual-de-calculo-trabalhista_2016-1.pdf,9.2.11,178
1966-03,mar/66,"0,05448014",166,manual-de-calculo-trabalhista_2016-1.pdf,9.2.11,178
1966-04,abr/66,"0,05448014",165,manual-de-calculo-trabalhista_2016-1.pdf,9.2.11,178
1966-05,mai/66,"0,05448014",164,manual-de-calculo-trabalhista_2016-1.pdf,9.2.11,178
1966-06,jun/66,"0,05068147",163,manual-de-calculo-trabalhista_2016-1.pdf,9.2.11,178
